name,artist,release_date,popularity,album_name,track_id,track_url
"Raanjhan (From ""Do Patti"")",Sachet-Parampara,2024-10-04,87,"Raanjhan (From ""Do Patti"")",4vHRQnzGcKEtqsLH70tAms,https://open.spotify.com/track/4vHRQnzGcKEtqsLH70tAms
Jo Tum Mere Ho,Anuv Jain,2024-08-02,85,Jo Tum Mere Ho,0eCajpR75pDW0r64U6hP2x,https://open.spotify.com/track/0eCajpR75pDW0r64U6hP2x
Ishq Hai,Anurag Saikia,2024-12-03,83,Mismatched: Season 3 (Soundtrack from the Netflix Series),3vCzLB6kS2lGcIpm1OOUsy,https://open.spotify.com/track/3vCzLB6kS2lGcIpm1OOUsy
Paro,Aditya Rikhari,2024-11-12,83,Paro,6nRGPf5tpeJtKpXZO5cgIT,https://open.spotify.com/track/6nRGPf5tpeJtKpXZO5cgIT
Sahiba,Jasleen Royal,2024-11-15,82,Sahiba,4ulroyDK6rN73nVkCkWhur,https://open.spotify.com/track/4ulroyDK6rN73nVkCkWhur
"Sajni (From ""Laapataa Ladies"")",Ram Sampath,2024-02-12,82,"Sajni (From ""Laapataa Ladies"")",5zCnGtCl5Ac5zlFHXaZmhy,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy
Wavy,Karan Aujla,2024-11-15,82,Wavy,4d2jV5fmX6hbRwaRbY39dt,https://open.spotify.com/track/4d2jV5fmX6hbRwaRbY39dt
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,2024-02-02,81,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2ceeTJAzKy295Fm0VsaXtE,https://open.spotify.com/track/2ceeTJAzKy295Fm0VsaXtE
Ishq,Faheem Abdullah,2024-05-25,82,Lost;Found,1hlbywc8Jhl1FFqJxAMabE,https://open.spotify.com/track/1hlbywc8Jhl1FFqJxAMabE
"Aaj Ki Raat (From ""Stree 2"")",Sachin-Jigar,2024-07-24,80,"Aaj Ki Raat (From ""Stree 2"")",5AnWrUzsrFgBvhn6dUElnr,https://open.spotify.com/track/5AnWrUzsrFgBvhn6dUElnr
Die With A Smile,Lady Gaga,2024-08-16,98,Die With A Smile,2plbrEY59IikOBgBGLjaoe,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
"Tainu Khabar Nahi - From ""Munjya""",Sachin-Jigar,2024-05-31,80,"Tainu Khabar Nahi (From ""Munjya"")",5npFBWhVs3VVlc0nY5xQMA,https://open.spotify.com/track/5npFBWhVs3VVlc0nY5xQMA
Maiyya,Sachet-Parampara,2024-10-24,79,Do Patti,5VvkNZesG4T86mUULEG5Wp,https://open.spotify.com/track/5VvkNZesG4T86mUULEG5Wp
Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav),Masoom Sharma,2024-12-10,79,Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav),3PWfXDaGLxwN9UJDHMEyKi,https://open.spotify.com/track/3PWfXDaGLxwN9UJDHMEyKi
